,y_train,y_train_pred,y_dev,y_dev_pred,y_test,y_test_pred
2017-01-27,152.0,150.12183788240202,,,,
2017-01-28,141.0,117.16972074746167,,,,
2017-01-29,161.0,133.14592953130972,,,,
2017-01-30,145.0,144.10518090032255,,,,
2017-01-31,156.0,136.6987449038234,,,,
2017-02-01,151.0,126.35431960577942,,,,
2017-02-02,124.0,123.633011899564,,,,
2017-02-03,161.0,159.36614460875737,,,,
2017-02-04,136.0,121.74708125448183,,,,
2017-02-05,129.0,136.1422092866269,,,,
2017-02-06,141.0,137.1689143219439,,,,
2017-02-07,128.0,134.6895509857432,,,,
2017-02-08,108.0,125.70223479797204,,,,
2017-02-09,116.0,119.40639106463198,,,,
2017-02-10,172.0,156.33519899934456,,,,
2017-02-11,109.0,122.66118723994438,,,,
2017-02-12,144.0,131.83316202083367,,,,
2017-02-13,122.0,140.76620744994028,,,,
2017-02-14,112.0,132.95868502383115,,,,
2017-02-15,112.0,123.61674368920036,,,,
2017-02-16,116.0,118.35690597622857,,,,
2017-02-17,190.0,156.1144823952705,,,,
2017-02-18,127.0,123.21066626812124,,,,
2017-02-19,126.0,130.06384398494404,,,,
2017-02-20,118.0,133.08724930064366,,,,
2017-02-21,135.0,134.12578754719576,,,,
2017-02-22,123.0,126.79812495942234,,,,
2017-02-23,134.0,122.17612450251912,,,,
2017-02-24,160.0,160.2378550209962,,,,
2017-02-25,101.0,117.80060050254463,,,,
2017-02-26,148.0,126.47100934319508,,,,
2017-02-27,143.0,140.33716953270908,,,,
2017-02-28,148.0,136.12349113424588,,,,
2017-03-01,136.0,130.52243859271533,,,,
2017-03-02,102.0,122.76069488105489,,,,
2017-03-03,153.0,155.24419592117744,,,,
2017-03-04,127.0,116.22383654775079,,,,
2017-03-05,109.0,135.6417933328155,,,,
2017-03-06,130.0,132.77666825763103,,,,
2017-03-07,132.0,132.80987707182672,,,,
2017-03-08,139.0,120.68101313476019,,,,
2017-03-09,108.0,121.20384505090107,,,,
2017-03-10,144.0,157.59319065368567,,,,
2017-03-11,124.0,122.8958258527657,,,,
2017-03-12,148.0,129.23296990330468,,,,
2017-03-13,143.0,134.53280836953056,,,,
2017-03-14,133.0,132.03200176287768,,,,
2017-03-15,135.0,128.499659202656,,,,
2017-03-16,123.0,127.48240491570243,,,,
2017-03-17,165.0,161.07382340636863,,,,
2017-03-18,119.0,117.37445584500915,,,,
2017-03-19,108.0,128.3556866242493,,,,
2017-03-20,138.0,132.60001936190963,,,,
2017-03-21,147.0,138.00712757724406,,,,
2017-03-22,120.0,130.6621935047587,,,,
2017-03-23,143.0,118.38573554611804,,,,
2017-03-24,154.0,157.90733941987295,,,,
2017-03-25,122.0,116.59710040406915,,,,
2017-03-26,163.0,132.02616188604603,,,,
2017-03-27,128.0,143.95818253665993,,,,
2017-03-28,138.0,138.89220253542226,,,,
2017-03-29,130.0,130.22536910121474,,,,
2017-03-30,115.0,123.23211772710998,,,,
2017-03-31,167.0,156.1343146016188,,,,
2017-04-01,122.0,118.88193058521867,,,,
2017-04-02,159.0,132.4873875116748,,,,
2017-04-03,135.0,141.36587892862295,,,,
2017-04-04,140.0,142.53767421417743,,,,
2017-04-05,139.0,130.09576033071457,,,,
2017-04-06,100.0,123.05775101858931,,,,
2017-04-07,179.0,155.23646325692926,,,,
2017-04-08,119.0,123.30984578887211,,,,
2017-04-09,115.0,135.17187474047327,,,,
2017-04-10,148.0,140.87955185088197,,,,
2017-04-11,125.0,135.74861807702104,,,,
2017-04-12,125.0,127.43795490594084,,,,
2017-04-13,112.0,120.0703654967742,,,,
2017-04-14,141.0,157.6491352387078,,,,
2017-04-15,104.0,117.26816808406619,,,,
2017-04-16,107.0,129.83616729575047,,,,
2017-04-17,83.0,128.89799385502164,,,,
2017-04-18,128.0,128.01905207320513,,,,
2017-04-19,133.0,121.59976060116587,,,,
2017-04-20,105.0,116.6811454237037,,,,
2017-04-21,154.0,152.04740613564817,,,,
2017-04-22,117.0,117.16866217282357,,,,
2017-04-23,142.0,129.49059494948304,,,,
2017-04-24,150.0,135.80625344134327,,,,
2017-04-25,162.0,137.44916564588962,,,,
2017-04-26,104.0,130.21078575612336,,,,
2017-04-27,115.0,116.3346486747587,,,,
2017-04-28,169.0,157.65951541681153,,,,
2017-04-29,120.0,116.68447137315948,,,,
2017-04-30,95.0,130.37057415400452,,,,
2017-05-01,93.0,128.57412176422108,,,,
2017-05-02,153.0,124.47098092184054,,,,
2017-05-03,136.0,124.38867663293644,,,,
2017-05-04,141.0,117.52664994049718,,,,
2017-05-05,164.0,157.88705726241733,,,,
2017-05-06,137.0,119.15777606645665,,,,
2017-05-07,115.0,130.32646857177627,,,,
2017-05-08,133.0,128.5209055257408,,,,
2017-05-09,133.0,141.33743219668872,,,,
2017-05-10,129.0,130.38287189520227,,,,
2017-05-11,115.0,122.60345463085832,,,,
2017-05-12,178.0,154.31304818738874,,,,
2017-05-13,116.0,114.82866911494897,,,,
2017-05-14,136.0,125.83729483817577,,,,
2017-05-15,148.0,136.51020839257305,,,,
2017-05-16,138.0,143.32952459284243,,,,
