date,y_train_xgboost,y_train_pred_xgboost,y_dev_xgboost,y_dev_pred_xgboost,y_test_xgboost,y_test_pred_xgboost,y_train_arima,y_train_pred_arima,y_dev_arima,y_dev_pred_arima,y_test_arima,y_test_pred_arima
2015-08-10,165.0,152.45445,,,,,165.0,152.45445,,,,
2015-08-11,150.0,138.65758,,,,,150.0,138.65758,,,,
2015-08-12,141.0,132.60696,,,,,141.0,132.60696,,,,
2015-08-13,123.0,120.27193,,,,,123.0,120.27193,,,,
2015-08-14,163.0,150.34758,,,,,163.0,150.34758,,,,
2015-08-15,117.0,119.48121,,,,,117.0,119.48121,,,,
2015-08-16,150.0,142.06357,,,,,150.0,142.06357,,,,
2015-08-17,136.0,149.09512,,,,,136.0,149.09512,,,,
2015-08-18,143.0,144.82445,,,,,143.0,144.82445,,,,
2015-08-19,152.0,139.19807,,,,,152.0,139.19807,,,,
2015-08-20,122.0,124.751305,,,,,122.0,124.751305,,,,
2015-08-21,163.0,152.3419,,,,,163.0,152.3419,,,,
2015-08-22,120.0,119.36733,,,,,120.0,119.36733,,,,
2015-08-23,155.0,137.5559,,,,,155.0,137.5559,,,,
2015-08-24,155.0,150.49892,,,,,155.0,150.49892,,,,
2015-08-25,123.0,129.8594,,,,,123.0,129.8594,,,,
2015-08-26,133.0,134.98517,,,,,133.0,134.98517,,,,
2015-08-27,141.0,122.37907,,,,,141.0,122.37907,,,,
2015-08-28,160.0,150.68765,,,,,160.0,150.68765,,,,
2015-08-29,112.0,117.19365,,,,,112.0,117.19365,,,,
2015-08-30,147.0,138.0154,,,,,147.0,138.0154,,,,
2015-08-31,153.0,148.71022,,,,,153.0,148.71022,,,,
2015-09-01,154.0,146.33328,,,,,154.0,146.33328,,,,
2015-09-02,139.0,131.28625,,,,,139.0,131.28625,,,,
2015-09-03,119.0,123.60623,,,,,119.0,123.60623,,,,
2015-09-04,167.0,157.38727,,,,,167.0,157.38727,,,,
2015-09-05,134.0,119.49344,,,,,134.0,119.49344,,,,
2015-09-06,148.0,145.25317,,,,,148.0,145.25317,,,,
2015-09-07,131.0,144.05406,,,,,131.0,144.05406,,,,
2015-09-08,121.0,133.90102,,,,,121.0,133.90102,,,,
2015-09-09,142.0,137.12914,,,,,142.0,137.12914,,,,
2015-09-10,139.0,122.94055,,,,,139.0,122.94055,,,,
2015-09-11,134.0,154.48769,,,,,134.0,154.48769,,,,
2015-09-12,102.0,119.1202,,,,,102.0,119.1202,,,,
2015-09-13,137.0,140.69376,,,,,137.0,140.69376,,,,
2015-09-14,154.0,142.45085,,,,,154.0,142.45085,,,,
2015-09-15,138.0,135.8972,,,,,138.0,135.8972,,,,
2015-09-16,157.0,137.56508,,,,,157.0,137.56508,,,,
2015-09-17,128.0,131.26144,,,,,128.0,131.26144,,,,
2015-09-18,152.0,151.47273,,,,,152.0,151.47273,,,,
2015-09-19,131.0,119.73067,,,,,131.0,119.73067,,,,
2015-09-20,139.0,145.6183,,,,,139.0,145.6183,,,,
2015-09-21,138.0,141.5039,,,,,138.0,141.5039,,,,
2015-09-22,146.0,138.18079,,,,,146.0,138.18079,,,,
2015-09-23,141.0,136.69994,,,,,141.0,136.69994,,,,
2015-09-24,118.0,127.34488,,,,,118.0,127.34488,,,,
2015-09-25,154.0,146.8937,,,,,154.0,146.8937,,,,
2015-09-26,120.0,117.414154,,,,,120.0,117.414154,,,,
2015-09-27,120.0,133.00888,,,,,120.0,133.00888,,,,
2015-09-28,163.0,144.374,,,,,163.0,144.374,,,,
2015-09-29,148.0,135.53535,,,,,148.0,135.53535,,,,
2015-09-30,132.0,137.35129,,,,,132.0,137.35129,,,,
2015-10-01,117.0,123.84828,,,,,117.0,123.84828,,,,
2015-10-02,160.0,151.12915,,,,,160.0,151.12915,,,,
2015-10-03,135.0,120.81357,,,,,135.0,120.81357,,,,
